Id,Gender,financial_issues,family_issues,study_hours,health_issues,friends_issues,friends_time,overload,unpleasant,academic,career,criticism,conflicts,stress_level
88,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Mistrust,1,Yes,Yes,Yes,No,No,Yes,Highly Stressed
89,Female,Repay Loan Issues;Deadline of Fee payment,Poor Communication and misunderstandings,2,Malnutrition;Covid;Low Energy,Comparison between them;Mistrust;Betrayal,4,Yes,Yes,Yes,Yes,No,No,Highly Stressed
90,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness;Concentration Problem,Conflicts;Jealousy;Mistrust,5,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
91,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness;Concentration Problem,Conflicts;Jealousy;Mistrust,5,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
92,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Negligence of Children,4,Covid;Low Energy;Anxiety or Tension,Conflicts;Comparison between them;Betrayal,3,Yes,Yes,No,Yes,Yes,No,Highly Stressed
93,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,2,Covid;Insomnia (Sleep Deprivation);Low Energy;Sleeping Problem,Jealousy;Mistrust,2,No,Yes,Yes,No,Yes,Yes,Highly Stressed
94,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,4,Covid;Anxiety or Tension;Concentration Problem,Jealousy;Mistrust,4,Yes,Yes,No,No,Yes,Yes,Highly Stressed
95,Female,Deadline of Fee payment,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,3,Low Energy;Lonliness;Sleeping Problem,Comparison between them;Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,No,No,Highly Stressed
96,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy;Sleeping Problem,Comparison between them;Jealousy;Betrayal,1,Yes,No,No,No,Yes,Yes,Highly Stressed
97,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings,2,Covid;Low Energy;Lonliness;Sleeping Problem,Comparison between them;Jealousy;Mistrust,3,Yes,Yes,Yes,No,No,Yes,Highly Stressed
98,Male,Deadline of Fee payment,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,2,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy,Conflicts;Comparison between them;Jealousy,1,Yes,Yes,No,No,Yes,Yes,Highly Stressed
99,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents,2,Malnutrition;Anxiety or Tension,Comparison between them;Betrayal,2,Yes,Yes,Yes,No,No,No,Highly Stressed
100,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,2,Low Energy;Lonliness;Concentration Problem,Comparison between them;Jealousy,3,Yes,Yes,No,Yes,Yes,Yes,Highly Stressed
101,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Covid;Low Energy;Anxiety or Tension,Comparison between them;Mistrust;Betrayal,4,No,No,Yes,Yes,Yes,Yes,Highly Stressed
102,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,0,Covid;Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Comparison between them;Jealousy;Mistrust;Betrayal,1,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
103,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Concentration Problem,Comparison between them;Mistrust,1,No,Yes,Yes,No,Yes,No,Highly Stressed
104,Male,Repay Loan Issues,Parental Expectations,1,Malnutrition;Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness,Betrayal,1,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
105,Male,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Low Energy;Lonliness,Conflicts;Jealousy;Mistrust;Betrayal,1,Yes,Yes,Yes,No,Yes,No,Highly Stressed
106,Male,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings,0,Covid;Insomnia (Sleep Deprivation),Conflicts;Comparison between them;Jealousy,2,Yes,Yes,Yes,Yes,No,No,Highly Stressed
107,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,5,Sinus or Migraine or Headaches;Covid;Anxiety or Tension,Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
108,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,2,Covid;Low Energy;Concentration Problem,Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
109,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,2,Covid;Low Energy;Sleeping Problem,Comparison between them;Mistrust,3,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
110,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,3,Covid;Anxiety or Tension;Concentration Problem,Conflicts,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
111,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,4,Covid;Low Energy;Sleeping Problem,Comparison between them;Jealousy;Betrayal,4,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
112,Male,Repay Loan Issues;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings;Negligence of Children,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Lonliness,Comparison between them;Jealousy,1,Yes,Yes,No,No,No,Yes,Highly Stressed
113,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Negligence of Children,2,Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness,Comparison between them;Mistrust;Betrayal,1,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
114,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Low Energy;Anxiety or Tension,Comparison between them;Betrayal,3,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
115,Female,Deadline of Fee payment,Parental Expectations;Divorce of Parents;Negligence of Children,10,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Jealousy;Betrayal,2,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
116,Female,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,9,Covid;Anxiety or Tension;Sleeping Problem,Comparison between them;Jealousy;Betrayal,1,Yes,Yes,Yes,No,No,Yes,Highly Stressed
117,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,7,Covid;Lonliness;Sleeping Problem,Conflicts;Mistrust,3,Yes,Yes,Yes,Yes,No,Yes,Highly Stressed
118,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Negligence of Children,0,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Sleeping Problem,Comparison between them;Mistrust,10,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
119,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Negligence of Children,2,Sinus or Migraine or Headaches;Low Energy;Lonliness,Conflicts;Comparison between them;Mistrust,10,Yes,Yes,Yes,No,No,Yes,Highly Stressed
120,Female,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,2,Sinus or Migraine or Headaches;Low Energy;Sleeping Problem,Conflicts;Mistrust,4,Yes,No,Yes,Yes,No,No,Highly Stressed
121,Female,Payment for Hostel,Being bullied by siblings;Negligence of Children,10,Covid;Anxiety or Tension;Concentration Problem,Comparison between them;Jealousy,10,Yes,Yes,Yes,No,Yes,Yes,Highly Stressed
122,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,1,Covid;Anxiety or Tension;Lonliness,Comparison between them,2,Yes,Yes,Yes,No,No,Yes,Highly Stressed
123,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Negligence of Children,10,Covid;Anxiety or Tension;Sleeping Problem,Conflicts;Jealousy,2,No,Yes,Yes,Yes,No,Yes,Highly Stressed
124,Male,Repay Loan Issues;Deadline of Fee payment,Divorce of Parents;Poor Communication and misunderstandings,1,Sinus or Migraine or Headaches;Lonliness,Conflicts;Jealousy;Betrayal,4,Yes,No,Yes,No,Yes,Yes,Highly Stressed
125,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Covid;Sleeping Problem,Jealousy;Mistrust,3,Yes,Yes,Yes,Yes,Yes,Yes,Highly Stressed
126,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings,10,Sinus or Migraine or Headaches;Low Energy,Comparison between them;Betrayal,3,Yes,Yes,No,Yes,Yes,No,Highly Stressed
127,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Poor Communication and misunderstandings,2,Low Energy;Anxiety or Tension;Concentration Problem,Mistrust,2,Yes,Yes,No,Yes,Yes,No,Highly Stressed
128,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Sleeping Problem,Conflicts;Comparison between them,5,Yes,Yes,Yes,Yes,Yes,No,Highly Stressed
129,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,3,Covid;Low Energy;Anxiety or Tension;Sleeping Problem,Jealousy;Mistrust,3,Yes,Yes,Yes,Yes,No,Yes,Highly Stressed
130,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,10,Covid;Insomnia (Sleep Deprivation);Low Energy;Sleeping Problem,Comparison between them;Jealousy;Mistrust,3,Yes,Yes,Yes,Yes,No,Yes,Highly Stressed
131,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,4,Insomnia (Sleep Deprivation);Low Energy;Lonliness,Comparison between them;Mistrust,4,Yes,Yes,Yes,No,Yes,No,Highly Stressed
132,Female,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Divorce of Parents;Negligence of Children,3,Covid;Low Energy;Anxiety or Tension;Concentration Problem,Comparison between them;Mistrust,3,No,Yes,Yes,No,Yes,Yes,Highly Stressed
133,Male,None,None,0,Low Energy,None,6,No,No,No,No,No,No,Normal
134,Male,Payment for room rent,None,1,Sinus or Migraine or Headaches,Conflicts,1,No,No,No,No,No,No,Normal
135,Male,Payment for Hostel,Being bullied by siblings,4,Malnutrition,Jealousy,6,No,No,No,No,No,No,Normal
136,Male,None,Being bullied by siblings,1,None,None,6,No,No,No,No,No,No,Normal
137,Female,Payment for Hostel,Being bullied by siblings,3,Low Energy,Conflicts,9,No,No,No,No,No,No,Normal
138,Male,Payment for room rent,Parental Expectations,2,Sinus or Migraine or Headaches,Jealousy,3,No,No,No,No,No,No,Normal
139,Male,None,Parental Expectations,0,Malnutrition,None,3,No,No,No,No,No,No,Normal
140,Male,Payment for room rent,Parental Expectations,2,None,Conflicts,8,No,No,No,No,No,No,Normal
141,Male,Payment for room rent,Parental Expectations,0,Low Energy,Jealousy,3,No,Yes,No,No,No,No,Normal
142,Female,None,None,1,Sinus or Migraine or Headaches,None,2,Yes,No,No,No,No,No,Normal
143,Female,None,Being bullied by siblings,6,Malnutrition,Conflicts,10,No,No,No,No,No,No,Normal
144,Male,Payment for room rent,Parental Expectations,2,None,Jealousy,6,No,No,No,No,No,No,Normal
145,Male,Payment for room rent,Internal family dispute,4,Low Energy,None,6,No,No,No,No,No,No,Normal
146,Female,None,Poor Communication,3,Sinus or Migraine or Headaches,Conflicts,1,No,No,No,No,No,No,Normal
147,Male,None,None,3,Malnutrition,Jealousy,1,No,No,No,No,No,No,Normal
148,Male,Family loan,Being bullied by siblings,3,None,None,9,No,No,No,No,No,No,Normal
149,Male,None,Parental Expectations,10,Low Energy,Conflicts,3,No,No,No,No,No,No,Normal
150,Male,Payment for Hostel,Internal family dispute,4,Sinus or Migraine or Headaches,Jealousy,3,No,No,No,No,Yes,No,Normal
151,Male,Payment for room rent,Poor Communication,1,Malnutrition,None,3,No,No,No,No,No,No,Normal
152,Male,None,None,3,None,Conflicts,7,No,Yes,No,No,No,No,Normal
153,Male,None,Being bullied by siblings,2,Low Energy,Jealousy,7,No,No,No,No,No,No,Normal
154,Female,None,Parental Expectations,4,Sinus or Migraine or Headaches,none,5,No,No,No,No,No,No,Normal
155,Female,Payment for Hostel,Internal family dispute,2,Malnutrition,None,3,No,No,No,No,No,No,Normal
156,Male,None,Poor Communication,4,None,Conflicts,5,No,No,No,No,No,No,Normal
157,Female,Payment for Hostel,None,5,Low Energy,Jealousy,3,No,No,No,No,No,No,Normal
158,Female,Payment for Hostel,Being bullied by siblings,5,Sinus or Migraine or Headaches,None,4,No,No,No,No,No,No,Normal
159,Male,None,Parental Expectations,5,Malnutrition,Conflicts,4,No,No,Yes,No,No,No,Normal
160,Male,Payment for Hostel,Internal family dispute,4,None,Jealousy,4,No,No,No,No,No,No,Normal
161,Male,Payment for Hostel,Poor Communication,5,Low Energy,None,5,No,No,No,No,No,No,Normal
162,Male,Payment for Hostel,None,3,Sinus or Migraine or Headaches,Conflicts,5,No,Yes,No,No,No,No,Normal
163,Female,None,Being bullied by siblings,4,Malnutrition,Jealousy,4,No,No,No,No,No,No,Normal
164,Female,Payment for room rent,Parental Expectations,4,None,None,5,No,No,No,No,No,No,Normal
165,Female,Payment for room rent,Internal family dispute,8,Low Energy,None,5,No,No,No,No,No,No,Normal
166,Female,Payment for room rent,Poor Communication,3,Sinus or Migraine or Headaches,None,5,No,No,No,No,No,No,Normal
167,Female,Payment for room rent,None,5,Malnutrition,None,5,No,No,No,No,No,No,Normal
168,Female,None,Being bullied by siblings,3,None,None,3,No,No,Yes,Yes,No,Yes,Normal
169,Male,Payment for room rent,Parental Expectations,4,Low Energy,None,2,No,No,No,No,No,No,Normal
170,Female,None,Internal family dispute,4,Sinus or Migraine or Headaches,None,4,No,No,No,No,No,No,Normal
171,Female,None,Poor Communication,2,Malnutrition,Conflicts,2,No,No,No,No,No,No,Normal
172,Male,Payment for room rent,None,3,None,Jealousy,3,No,Yes,No,No,No,No,Normal
173,Female,None,Being bullied by siblings,7,Low Energy,None,8,No,No,No,No,No,No,Normal
174,Female,None,Parental Expectations,8,Sinus or Migraine or Headaches,Conflicts,4,No,No,No,No,No,No,Normal
175,Female,None,Internal family dispute,2,Malnutrition,Jealousy,7,No,No,Yes,No,No,No,Normal
176,Male,Payment for room rent,Poor Communication,5,None,None,3,No,No,No,No,No,No,Normal
177,Female,None,None,2,Low Energy,Conflicts,5,No,No,Yes,No,No,No,Normal
178,Male,Payment for room rent,Being bullied by siblings,2,Sinus or Migraine or Headaches,Jealousy,5,No,No,No,No,No,No,Normal
179,Female,None,Parental Expectations,0,Malnutrition,None,2,No,No,No,No,No,No,Normal
180,Male,None,Internal family dispute,3,None,Conflicts,2,No,No,No,No,No,No,Normal
181,Female,None,Poor Communication,2,Low Energy,Jealousy,10,Yes,No,No,No,No,No,Normal
182,Male,Payment for Hostel,None,3,Sinus or Migraine or Headaches,None,2,No,Yes,No,No,No,No,Normal
183,Female,Payment for Hostel,Being bullied by siblings,5,Malnutrition,Conflicts,3,No,No,No,No,No,No,Normal
184,Male,Payment for Hostel,Parental Expectations,2,None,Jealousy,4,No,No,No,No,No,No,Normal
185,Male,Repay Loan Issues,Internal family dispute,1,Low Energy,None,2,No,No,No,No,No,No,Normal
186,Female,Payment for Hostel,Poor Communication,1,Sinus or Migraine or Headaches,Conflicts,2,No,No,Yes,No,Yes,No,Normal
187,Male,Payment for Hostel,None,3,Malnutrition,Jealousy,2,No,No,No,No,No,No,Normal
188,Female,Payment for Hostel,Being bullied by siblings,1,None,None,3,No,No,No,No,No,No,Normal
189,Female,Payment for Hostel,Parental Expectations,2,Low Energy,Conflicts,3,No,No,No,No,No,No,Normal
190,Male,Payment for Hostel,Internal family dispute,4,Sinus or Migraine or Headaches,None,3,No,No,No,No,No,No,Normal
191,Male,Payment for room rent,Poor Communication,4,Malnutrition,Conflicts,3,No,No,No,No,No,No,Normal
192,Male,None,None,2,None,Jealousy,3,No,Yes,No,No,No,No,Normal
193,Male,Payment for room rent,Being bullied by siblings,4,Low Energy,None,4,No,No,No,No,No,No,Normal
194,Male,None,Parental Expectations,3,Sinus or Migraine or Headaches,Conflicts,4,No,No,No,No,No,No,Normal
195,Male,Payment for room rent,Internal family dispute,5,Malnutrition,Jealousy,3,No,No,Yes,No,No,No,Normal
196,Female,Payment for Hostel,Poor Communication,10,None,None,5,No,No,No,No,No,No,Normal
197,Female,Payment for Hostel,None,5,Low Energy,Conflicts,5,No,No,No,No,No,No,Normal
198,Male,Payment for room rent,Being bullied by siblings,3,Sinus or Migraine or Headaches,Jealousy,3,No,No,No,No,No,No,Normal
199,Female,Payment for room rent,Parental Expectations,2,Malnutrition,None,3,No,No,No,No,No,No,Normal
200,Female,None,Internal family dispute,3,None,Conflicts,3,No,No,No,No,No,No,Normal
201,Female,Payment for Hostel,Poor Communication,2,Sinus or Migraine or Headaches,Jealousy,3,No,No,No,No,No,No,Normal
202,Male,None,None,5,None,None,5,No,No,No,No,No,No,Normal
203,Male,None,None,4,None,None,6,No,No,No,No,No,No,Normal
204,Male,None,None,3,None,None,8,No,No,No,No,No,No,Normal
205,Male,None,None,2,None,None,10,No,No,No,No,No,No,Normal
206,Male,None,None,1,None,None,7,No,No,No,No,No,No,Normal
207,Male,None,None,8,None,None,6,No,No,No,No,No,No,Normal
208,Female,None,None,5,None,None,5,No,No,No,No,No,No,Normal
209,Female,None,None,4,None,None,6,No,No,No,No,No,No,Normal
210,Female,None,None,3,None,None,8,No,No,No,No,No,No,Normal
211,Female,None,None,2,None,None,10,No,No,No,No,No,No,Normal
212,Female,None,None,1,None,None,7,No,No,No,No,No,No,Normal
213,Female,None,None,8,None,None,6,No,No,No,No,No,No,Normal
